=== PPO Raw Episode Data ===
Training Started: 2025-09-04_10:15:31
Number of Environments: 30

Rewards env 1,Dones env 1,Rewards env 2,Dones env 2,Rewards env 3,Dones env 3,Rewards env 4,Dones env 4,Rewards env 5,Dones env 5,Rewards env 6,Dones env 6,Rewards env 7,Dones env 7,Rewards env 8,Dones env 8,Rewards env 9,Dones env 9,Rewards env 10,Dones env 10,Rewards env 11,Dones env 11,Rewards env 12,Dones env 12,Rewards env 13,Dones env 13,Rewards env 14,Dones env 14,Rewards env 15,Dones env 15,Rewards env 16,Dones env 16,Rewards env 17,Dones env 17,Rewards env 18,Dones env 18,Rewards env 19,Dones env 19,Rewards env 20,Dones env 20,Rewards env 21,Dones env 21,Rewards env 22,Dones env 22,Rewards env 23,Dones env 23,Rewards env 24,Dones env 24,Rewards env 25,Dones env 25,Rewards env 26,Dones env 26,Rewards env 27,Dones env 27,Rewards env 28,Dones env 28,Rewards env 29,Dones env 29,Rewards env 30,Dones env 30
48.910083,0,52.926524,0,50.699663,0,46.507401,0,51.437591,0,253.451054,1,53.034211,0,51.190208,0,466.434119,1,43.352136,0,676.119876,1,466.863760,1,44.959636,0,46.439043,0,49.185687,0,44.929411,0,43.865230,0,48.005264,0,45.941344,0,41.213775,0,46.638464,0,52.867072,0,43.099195,0,52.106002,0,49.411307,0,50.175689,0,50.380516,0,45.308594,0,45.964579,0,56.891791,0
44.520653,0,40.950930,0,45.939394,0,48.298378,0,48.491628,0,54.475858,0,45.210397,0,44.333034,0,46.425089,0,54.036026,0,48.568401,0,45.740349,0,472.017478,1,44.554473,0,47.814764,0,51.396744,0,48.558758,0,41.529174,0,51.932366,0,674.551176,1,48.824053,0,41.266143,0,52.375850,0,53.573671,0,44.989480,0,44.394260,0,256.206550,1,43.388402,0,42.158378,0,54.575324,0
43.119358,0,50.027404,0,41.809335,0,42.397547,0,43.991956,0,54.706187,0,43.129435,0,54.582918,0,43.186167,0,46.915499,0,48.277921,0,42.392277,0,41.690064,0,48.122926,0,42.197800,0,53.964164,0,41.524016,0,41.385871,0,38.535983,0,45.927373,0,45.129511,0,40.526906,0,49.902717,0,45.942606,0,45.462342,0,46.333064,0,45.269755,0,39.833524,0,64.078247,0,45.211185,0
40.373493,0,44.133586,0,46.393623,0,49.592608,0,42.818811,0,45.050175,0,41.996946,0,41.382927,0,53.634125,0,49.191919,0,572.250996,1,50.863530,0,40.570554,0,45.346143,0,48.469196,0,50.908937,0,56.181463,0,46.561305,0,48.865545,0,42.766664,0,44.263205,0,49.459547,0,51.077163,0,50.642092,0,41.602157,0,44.073485,0,45.227761,0,47.035824,0,41.361915,0,153.632492,1
39.939926,0,50.355425,0,47.933796,0,60.463029,0,46.922321,0,40.911418,0,47.570403,0,42.689314,0,49.507536,0,50.627824,0,52.198328,0,39.818035,0,43.523855,0,54.432722,0,47.853857,0,53.724729,0,42.382488,0,46.996720,0,45.855314,0,48.805161,0,52.584358,0,48.858670,0,41.994884,0,45.448264,0,44.570101,0,43.967743,0,47.058863,0,370.300451,1,47.239861,0,42.643549,0
42.772052,0,49.855846,0,50.212551,0,44.690482,0,43.303785,0,46.771670,0,47.586549,0,44.693515,0,43.118616,0,43.033925,0,40.778817,0,51.767509,0,53.701668,0,52.659760,0,43.996451,0,47.578702,0,51.107336,0,47.592886,0,41.498132,0,43.687968,0,46.879027,0,48.165716,0,41.666219,0,54.678564,0,45.750447,0,49.721411,0,44.674704,0,51.751106,0,49.424382,0,55.728947,0
46.273044,0,54.526079,0,51.989796,0,569.407100,1,49.302612,0,42.002070,0,53.589531,0,47.936474,0,43.244365,0,53.118633,0,48.996572,0,47.039786,0,44.363741,0,44.373502,0,44.857970,0,44.776293,0,49.945847,0,44.503799,0,47.049297,0,54.578306,0,45.277937,0,48.668921,0,465.798219,1,51.271456,0,49.891621,0,151.540769,1,41.385208,0,48.747356,0,47.683334,0,47.905182,0
162.346667,1,41.263825,0,46.716856,0,47.065514,0,50.964751,0,672.563022,1,45.485352,0,39.664393,0,40.547212,0,156.724758,1,52.870449,0,48.864157,0,47.032173,0,41.598917,0,54.418907,0,48.167085,0,47.443334,0,49.911929,0,49.167484,0,42.109307,0,50.073310,0,52.052115,0,42.719568,0,41.757167,0,42.713566,0,49.744001,0,52.058880,0,43.520717,0,41.883634,0,46.963706,0
39.903492,0,50.922293,0,43.392784,0,42.335324,0,675.532025,1,50.168064,0,678.128975,1,40.778752,0,52.924117,0,38.243513,0,42.973854,0,45.780926,0,47.608708,0,44.741034,0,44.582845,0,46.374261,0,40.387098,0,46.102571,0,54.946419,0,54.961141,0,51.379870,0,47.817330,0,49.205987,0,42.736435,0,53.555607,0,46.442045,0,54.513133,0,50.906226,0,44.822992,0,42.428720,0
42.887559,0,47.596914,0,50.583180,0,47.736312,0,43.044763,0,51.874657,0,46.367520,0,45.092588,0,47.831853,0,45.409418,0,48.799958,0,44.880894,0,472.454759,1,52.177989,0,255.729711,1,46.929693,0,42.485363,0,46.083529,0,47.781361,0,48.689427,0,50.293020,0,50.816645,0,47.407618,0,51.230368,0,47.903303,0,48.247548,0,363.740506,1,47.906403,0,41.730441,0,50.374048,0
46.386332,0,463.591190,1,54.832684,0,45.817856,0,43.777128,0,65.900314,0,41.083451,0,41.015164,0,44.753888,0,47.208675,0,50.679400,0,41.845888,0,51.607740,0,43.757434,0,45.220834,0,252.327062,1,46.483433,0,49.958492,0,43.480551,0,52.694695,0,43.479490,0,44.293775,0,53.493953,0,47.277403,0,48.697574,0,54.070643,0,45.591064,0,47.005046,0,44.694493,0,51.645473,0
52.901251,0,48.000333,0,49.718383,0,54.615336,0,41.610219,0,53.947376,0,263.537841,1,47.586778,0,50.833225,0,43.215312,0,49.037204,0,43.923231,0,54.421241,0,41.887044,0,40.777463,0,51.890473,0,32.791074,0,49.079522,0,47.887519,0,41.443780,0,49.362036,0,47.260478,0,47.577725,0,43.810934,0,53.622431,0,48.259716,0,63.354478,0,48.158609,0,260.658540,1,48.832340,0
50.484422,0,50.366723,0,44.699667,0,42.891707,0,45.524464,0,42.088094,0,45.157470,0,40.478858,0,52.136369,0,40.614961,0,55.805614,0,52.496100,0,257.475326,1,45.066560,0,54.694847,0,37.592132,0,46.803420,0,45.131149,0,48.209206,0,48.337371,0,41.803381,0,46.772670,0,253.398158,1,48.395636,0,574.008978,1,46.936750,0,47.426245,0,45.143927,0,36.187840,0,52.216379,0
35.765767,0,46.908489,0,41.740568,0,43.456814,0,145.592679,1,47.788499,0,44.942380,0,43.786052,0,51.264613,0,52.630538,0,54.872376,0,49.479390,0,52.453415,0,45.918401,0,44.966351,0,48.581147,0,46.530670,0,43.795354,0,46.470156,0,155.692436,1,32.551187,0,52.882599,0,52.189761,0,44.268773,0,48.271347,0,61.270858,0,50.286089,0,154.724910,1,50.840204,0,464.260780,1
