=== FINAL PPO Raw Training Data ===
Timestamp: 2025-09-04_12:47:07
Total Episodes: 300
Total Runtime: 151m 35s
Training Efficiency: 30.32 seconds per episode

=== Complete Raw Episode Data ===
Episode,Reward,CompletionRate(%)
0,20.7887,13.33
1,17.8740,10.00
2,9.1705,0.00
3,13.5049,6.67
4,11.5812,3.33
5,9.4590,0.00
6,16.5336,10.00
7,14.9894,10.00
8,17.7640,6.67
9,15.8272,10.00
10,13.6845,6.67
11,12.4667,6.67
12,15.5890,10.00
13,14.3612,13.33
14,14.4685,10.00
15,15.9454,6.67
16,15.1770,6.67
17,20.9142,16.67
18,11.9890,6.67
19,29.4495,26.67
20,18.0368,10.00
21,26.0561,23.33
22,12.2540,6.67
23,16.2459,16.67
24,21.6823,16.67
25,23.3128,26.67
26,27.9459,26.67
27,30.4268,33.33
28,23.6738,23.33
29,26.2886,26.67
30,19.5786,16.67
31,35.5812,26.67
32,27.0911,23.33
33,32.0047,23.33
34,21.5785,20.00
35,23.0662,20.00
36,29.3594,23.33
37,42.5806,43.33
38,30.0426,26.67
39,38.6204,40.00
40,48.4359,30.00
41,41.1128,36.67
42,56.9384,46.67
43,28.5653,30.00
44,29.9345,26.67
45,38.6549,36.67
46,39.8201,40.00
47,38.7682,36.67
48,35.1136,36.67
49,58.5303,46.67
50,59.3774,56.67
51,35.1967,30.00
52,57.4529,53.33
53,38.9767,33.33
54,35.6180,30.00
55,38.4065,33.33
56,62.7585,46.67
57,39.7374,40.00
58,61.9309,56.67
59,45.0609,46.67
60,43.2001,50.00
61,45.9372,40.00
62,49.4256,46.67
63,50.4958,40.00
64,61.1544,43.33
65,49.1425,36.67
66,52.5781,43.33
67,36.9800,43.33
68,66.3993,56.67
69,52.6690,50.00
70,69.8829,60.00
71,39.3314,30.00
72,59.4554,43.33
73,39.0737,36.67
74,46.3269,46.67
75,54.5600,50.00
76,52.8863,40.00
77,51.5389,50.00
78,78.3911,70.00
79,56.5873,50.00
80,37.8708,26.67
81,56.6822,46.67
82,38.5386,36.67
83,58.0715,46.67
84,61.6164,46.67
85,62.2252,53.33
86,61.0740,60.00
87,59.4566,43.33
88,58.3109,50.00
89,54.6875,56.67
90,56.7004,46.67
91,77.8635,66.67
92,74.7413,56.67
93,88.1737,70.00
94,40.9925,40.00
95,73.3008,60.00
96,76.3824,60.00
97,91.0501,76.67
98,56.5252,43.33
99,66.8582,56.67
100,62.1598,60.00
101,45.3402,40.00
102,56.8236,53.33
103,58.0693,46.67
104,64.4337,56.67
105,67.1124,56.67
106,68.1095,63.33
107,77.2588,63.33
108,74.6957,63.33
109,80.1236,66.67
110,65.8382,60.00
111,63.9683,53.33
112,60.2479,60.00
113,64.1271,53.33
114,69.3820,56.67
115,69.3867,60.00
116,63.5468,56.67
117,78.2340,63.33
118,84.8619,70.00
119,74.4037,66.67
120,67.8981,56.67
121,82.5746,66.67
122,81.6803,63.33
123,89.4653,66.67
124,69.2174,63.33
125,63.0901,56.67
126,46.8886,43.33
127,66.7905,60.00
128,68.3677,56.67
129,64.7696,53.33
130,81.3485,66.67
131,65.5913,56.67
132,94.0384,80.00
133,52.8087,40.00
134,85.6364,70.00
135,65.7695,63.33
136,75.7336,66.67
137,73.8508,60.00
138,78.1011,63.33
139,63.4684,56.67
140,52.3968,53.33
141,72.2622,63.33
142,75.1108,56.67
143,89.2046,76.67
144,60.0652,50.00
145,74.8256,60.00
146,80.7064,73.33
147,87.4953,73.33
148,95.2196,76.67
149,79.5323,63.33
150,76.3690,66.67
151,81.1162,70.00
152,77.8284,73.33
153,87.2652,83.33
154,92.3321,73.33
155,76.9928,66.67
156,54.4029,53.33
157,76.9013,73.33
158,62.4695,53.33
159,84.3181,66.67
160,63.6624,50.00
161,85.8634,80.00
162,73.4246,56.67
163,90.2769,66.67
164,84.2206,70.00
165,84.1431,70.00
166,91.0583,70.00
167,110.2441,90.00
168,95.1681,70.00
169,85.6021,70.00
170,84.8287,63.33
171,79.3564,60.00
172,72.3366,60.00
173,71.9349,53.33
174,68.0317,56.67
175,94.5288,70.00
176,79.8967,56.67
177,88.4501,63.33
178,78.5073,66.67
179,77.8629,63.33
180,69.0405,53.33
181,65.9591,50.00
182,74.6834,60.00
183,86.9320,60.00
184,79.6379,56.67
185,77.1175,63.33
186,76.3561,53.33
187,90.7678,73.33
188,69.3221,53.33
189,93.6279,70.00
190,71.0824,66.67
191,93.8093,70.00
192,90.9568,73.33
193,79.6735,73.33
194,98.3320,76.67
195,82.6784,63.33
196,98.0025,73.33
197,82.3029,60.00
198,74.7147,66.67
199,89.2440,70.00
200,93.6389,73.33
201,103.7961,80.00
202,82.7794,73.33
203,80.9845,56.67
204,80.4969,53.33
205,69.0406,46.67
206,94.5800,86.67
207,83.3179,60.00
208,67.7593,50.00
209,89.6648,60.00
210,84.0355,60.00
211,86.6944,60.00
212,75.3513,53.33
213,60.6944,53.33
214,84.3658,63.33
215,56.5345,40.00
216,69.9846,56.67
217,78.7744,63.33
218,76.0029,60.00
219,66.4851,53.33
220,68.5371,46.67
221,78.1375,70.00
222,103.7649,76.67
223,104.5276,83.33
224,102.0978,66.67
225,85.6944,80.00
226,86.2201,63.33
227,106.5744,83.33
228,112.7636,83.33
229,83.6863,73.33
230,117.8870,83.33
231,97.2379,76.67
232,93.4299,66.67
233,96.4811,76.67
234,88.5560,70.00
235,90.6549,70.00
236,106.8714,83.33
237,61.6533,50.00
238,111.5259,86.67
239,90.9589,70.00
240,83.5197,60.00
241,101.8632,80.00
242,101.4428,76.67
243,80.1357,63.33
244,94.1637,76.67
245,94.8948,76.67
246,90.1263,76.67
247,86.9499,73.33
248,87.2223,73.33
249,110.1716,90.00
250,90.9306,66.67
251,93.1339,70.00
252,75.0245,50.00
253,87.1596,70.00
254,86.5893,66.67
255,66.8789,53.33
256,74.7493,60.00
257,100.6378,73.33
258,100.7592,73.33
259,88.8960,66.67
260,93.8170,70.00
261,79.8269,63.33
262,99.9355,80.00
263,77.6003,63.33
264,82.4720,73.33
265,101.4018,83.33
266,77.4462,70.00
267,91.3946,80.00
268,75.3847,53.33
269,81.9737,66.67
270,83.1116,66.67
271,69.6422,66.67
272,96.3351,66.67
273,98.5485,70.00
274,83.4559,73.33
275,73.9421,60.00
276,88.1045,73.33
277,101.1813,80.00
278,81.6462,60.00
279,113.6217,80.00
280,91.6078,70.00
281,109.6421,80.00
282,88.4834,73.33
283,86.7945,73.33
284,78.6529,63.33
285,87.9969,66.67
286,71.8992,63.33
287,103.6572,80.00
288,78.3462,60.00
289,98.9946,73.33
290,57.0208,50.00
291,87.9851,73.33
292,83.9719,60.00
293,110.2861,76.67
294,95.8489,73.33
295,95.7135,76.67
296,89.1856,73.33
297,105.2675,83.33
298,107.2920,83.33
299,103.6573,80.00
