=== PPO Raw Episode Data ===
Training Started: 2025-09-04_12:53:59
Number of Environments: 30

Rewards env 1,Dones env 1,Rewards env 2,Dones env 2,Rewards env 3,Dones env 3,Rewards env 4,Dones env 4,Rewards env 5,Dones env 5,Rewards env 6,Dones env 6,Rewards env 7,Dones env 7,Rewards env 8,Dones env 8,Rewards env 9,Dones env 9,Rewards env 10,Dones env 10,Rewards env 11,Dones env 11,Rewards env 12,Dones env 12,Rewards env 13,Dones env 13,Rewards env 14,Dones env 14,Rewards env 15,Dones env 15,Rewards env 16,Dones env 16,Rewards env 17,Dones env 17,Rewards env 18,Dones env 18,Rewards env 19,Dones env 19,Rewards env 20,Dones env 20,Rewards env 21,Dones env 21,Rewards env 22,Dones env 22,Rewards env 23,Dones env 23,Rewards env 24,Dones env 24,Rewards env 25,Dones env 25,Rewards env 26,Dones env 26,Rewards env 27,Dones env 27,Rewards env 28,Dones env 28,Rewards env 29,Dones env 29,Rewards env 30,Dones env 30
1017.602612,1,599.046024,1,904.219428,1,803.609147,1,1328.512970,1,74.038547,0,79.896571,0,1224.400432,1,1431.069957,1,1326.606582,1,591.345286,1,807.224025,1,1222.733363,1,1123.337441,1,1429.030762,1,1328.924443,1,909.553209,1,1227.384173,1,1222.456384,1,1018.082748,1,1330.219313,1,705.793917,1,1219.192256,1,66.812179,0,1011.449851,1,96.097291,0,1227.660086,1,1331.024317,1,1113.997947,1,1221.747888,1
598.608766,1,1119.112494,1,70.589172,0,101.288230,0,1223.055692,1,1431.093854,1,689.191811,1,1013.596399,1,1222.624664,1,1326.725589,1,1327.964193,1,1429.232987,1,95.023525,0,1325.178333,1,87.442259,0,588.586277,1,83.761549,0,1220.792125,1,1117.757978,1,116.093257,0,1326.083671,1,1225.318774,1,694.015665,1,1428.338231,1,1223.504743,1,75.344731,0,1015.270103,1,595.103499,1,592.207618,1,811.821150,1
1008.216994,1,71.690805,0,1014.284613,1,1016.466539,1,902.483245,1,1226.385188,1,1431.004514,1,73.820283,0,1218.882571,1,1008.460169,1,74.893532,0,294.408966,1,1329.791524,1,97.131570,0,817.323998,1,1012.474206,1,1120.273998,1,728.182119,1,1325.189142,1,1331.450529,1,1326.523165,1,1218.757682,1,908.504070,1,385.936775,1,1429.237844,1,1330.361860,1,805.089518,1,702.678978,1,1218.280726,1,1323.863524,1
1328.456825,1,1428.299120,1,1010.695807,1,1327.987549,1,1221.293929,1,1428.172174,1,1328.968665,1,1223.583827,1,1221.927416,1,71.711568,0,1429.480098,1,1329.222889,1,904.900539,1,80.892771,0,1325.216230,1,1115.945477,1,813.303604,1,1323.476778,1,1015.873107,1,1118.739173,1,1122.533170,1,67.710044,0,1326.595774,1,1429.843948,1,1220.600628,1,1223.921656,1,1329.196541,1,1009.943364,1,528.938280,1,71.913330,0
1222.698859,1,1429.398557,1,394.479251,1,96.088881,0,1224.371698,1,1225.152579,1,1427.910380,1,1114.212385,1,803.797721,1,1019.363614,1,1430.654854,1,121.923508,0,484.155546,1,1326.012688,1,100.464927,0,698.895191,1,1429.462286,1,1326.509138,1,1226.135317,1,89.598792,0,1218.580902,1,1428.838727,1,1008.432310,1,1330.651959,1,91.835532,0,1325.327515,1,78.889453,0,96.227032,0,1011.053711,1,1226.795750,1
68.702963,0,98.979207,0,492.782997,1,483.336810,1,81.891354,0,91.615443,0,89.479057,0,697.618711,1,910.248874,1,74.502739,0,595.159121,1,909.738065,1,1013.929461,1,908.356397,1,1015.156775,1,1008.935008,1,1224.719335,1,390.340268,1,1014.692330,1,1324.978774,1,65.027588,0,708.095091,1,814.896246,1,1223.147188,1,1429.650803,1,71.018020,0,1123.162600,1,916.302799,1,806.291495,1,910.002461,1
1325.607754,1,1118.218664,1,88.216823,0,696.325654,1,1227.147180,1,491.379581,1,704.702318,1,806.258121,1,95.804116,0,688.637281,1,73.391379,0,1222.891722,1,1226.280782,1,93.498138,0,101.144184,0,1429.250069,1,126.516431,0,1020.009294,1,1222.694239,1,1226.163415,1,1429.064776,1,1116.877374,1,1324.091321,1,87.399815,0,1226.195855,1,93.840597,0,1226.204070,1,385.017218,1,78.302181,0,1430.900188,1
1431.040491,1,1012.579353,1,1325.109615,1,806.806132,1,1012.246322,1,79.297126,0,701.925034,1,1430.165923,1,1329.316872,1,425.211082,1,1013.404479,1,1329.761026,1,1429.618237,1,90.608970,0,1323.969016,1,70.046223,0,1323.335639,1,1322.900866,1,1013.542367,1,913.812614,1,1327.004919,1,1113.636252,1,1223.212620,1,1222.091703,1,72.949755,0,801.816244,1,596.741431,1,908.619764,1,1430.830392,1,907.913079,1
78.323736,0,122.130860,0,50.078787,0,1119.870518,1,1222.413085,1,66.069765,0,1120.154085,1,1118.156730,1,1225.191317,1,123.694793,0,1014.504376,1,1326.570004,1,1223.530111,1,75.766230,0,1123.190113,1,1224.180265,1,1429.268819,1,1326.767933,1,1123.792240,1,1324.594817,1,598.543811,1,89.820359,0,1008.505356,1,1323.699992,1,82.229207,0,905.328343,1,1323.520486,1,86.401680,0,1326.805840,1,493.975789,1
1113.343466,1,903.339641,1,1224.023331,1,1117.838744,1,1324.986713,1,1324.933304,1,69.030856,0,371.770171,1,903.734663,1,1224.831104,1,1226.769520,1,1329.538539,1,801.606342,1,1012.600760,1,85.929617,0,1017.020001,1,1219.284982,1,1016.532583,1,805.689181,1,65.999264,0,693.443864,1,1429.104286,1,1223.842303,1,93.423280,0,1225.581568,1,87.439988,0,64.052214,0,509.306495,1,1007.018912,1,1218.491684,1
