=== PPO Raw Episode Data ===
Training Started: 2025-09-03_15:07:54
Number of Environments: 30

Rewards env 1,Dones env 1,Rewards env 2,Dones env 2,Rewards env 3,Dones env 3,Rewards env 4,Dones env 4,Rewards env 5,Dones env 5,Rewards env 6,Dones env 6,Rewards env 7,Dones env 7,Rewards env 8,Dones env 8,Rewards env 9,Dones env 9,Rewards env 10,Dones env 10,Rewards env 11,Dones env 11,Rewards env 12,Dones env 12,Rewards env 13,Dones env 13,Rewards env 14,Dones env 14,Rewards env 15,Dones env 15,Rewards env 16,Dones env 16,Rewards env 17,Dones env 17,Rewards env 18,Dones env 18,Rewards env 19,Dones env 19,Rewards env 20,Dones env 20,Rewards env 21,Dones env 21,Rewards env 22,Dones env 22,Rewards env 23,Dones env 23,Rewards env 24,Dones env 24,Rewards env 25,Dones env 25,Rewards env 26,Dones env 26,Rewards env 27,Dones env 27,Rewards env 28,Dones env 28,Rewards env 29,Dones env 29,Rewards env 30,Dones env 30
620.124532,1,55.048712,0,48.472619,0,46.320793,0,36.662016,0,56.447269,0,337.308882,1,57.651840,0,63.663569,0,142.747318,1,55.392458,0,46.544769,0,428.610272,1,59.716575,0,622.144043,1,44.502447,0,45.653268,0,54.991975,0,45.145234,0,48.322330,0,48.297687,0,57.496099,0,72.810227,0,431.403995,1,623.377155,1,56.047490,0,44.499004,0,628.434909,1,43.981827,0,52.509145,0
46.277879,0,56.967635,0,334.630890,1,526.303113,1,53.606876,0,47.067230,0,53.391194,0,428.344881,1,530.207898,1,66.259482,0,244.289453,1,50.412666,0,45.458359,0,50.045589,0,333.152513,1,52.851255,0,54.050470,0,53.905081,0,248.475584,1,340.983272,1,53.039377,0,719.362591,1,47.618408,0,248.971078,1,153.660394,1,428.752923,1,52.303780,0,330.952544,1,809.953595,1,72.676187,0
54.329759,0,57.909757,0,533.528077,1,49.172392,0,56.272275,0,59.215625,0,45.557442,0,58.141055,0,439.330849,1,49.483584,0,45.321353,0,46.714814,0,48.416976,0,55.005799,0,68.930139,0,625.344274,1,54.500660,0,53.283388,0,236.306769,1,624.306212,1,52.949448,0,63.941342,0,529.501640,1,47.602136,0,45.324424,0,50.367732,0,533.775534,1,48.337569,0,53.216251,0,48.074573,0
67.429753,0,534.283201,1,68.833202,0,336.928497,1,628.646511,1,54.339934,0,46.360165,0,69.071774,0,335.532401,1,620.271593,1,245.104228,1,528.457332,1,45.482525,0,57.663490,0,153.467161,1,55.139602,0,525.679722,1,47.485348,0,529.217733,1,60.594337,0,49.678650,0,538.204597,1,50.533850,0,54.937876,0,331.843266,1,53.360531,0,47.825087,0,717.154781,1,536.582941,1,51.045294,0
46.549002,0,48.368238,0,61.542637,0,45.549335,0,54.136283,0,49.161988,0,45.744533,0,335.541804,1,342.492375,1,62.571331,0,49.403553,0,57.881622,0,44.971043,0,63.204360,0,172.086643,1,531.220268,1,49.217857,0,623.350068,1,56.278077,0,447.810036,1,52.952429,0,346.242340,1,142.970323,1,54.517693,0,52.527333,0,53.099405,0,49.860355,0,46.531641,0,335.251899,1,45.253027,0
48.436997,0,49.936278,0,54.168737,0,49.456847,0,45.743726,0,60.560863,0,49.596854,0,52.286358,0,47.522807,0,59.395576,0,48.047783,0,51.494765,0,55.968648,0,54.595115,0,342.022378,1,47.823383,0,49.820853,0,334.286402,1,52.104940,0,58.056251,0,57.515672,0,46.552679,0,46.024538,0,56.758878,0,48.885594,0,337.867598,1,59.688940,0,332.716178,1,58.138877,0,52.921944,0
434.136832,1,56.092755,0,56.673289,0,47.445119,0,48.942903,0,53.664072,0,51.454535,0,51.249454,0,46.818798,0,56.792677,0,44.774708,0,59.368549,0,57.302609,0,58.579145,0,443.270151,1,57.288825,0,44.402318,0,51.477721,0,443.851387,1,621.695569,1,56.703818,0,48.584648,0,809.210411,1,46.187247,0,528.130544,1,341.608865,1,623.686374,1,49.826576,0,623.781572,1,54.446757,0
242.267513,1,339.698670,1,48.502885,0,51.019853,0,59.445644,0,49.709931,0,44.193947,0,47.447515,0,47.975375,0,50.637457,0,45.283787,0,810.992407,1,49.684789,0,53.424007,0,713.482428,1,48.519506,0,624.738221,1,56.387102,0,53.599411,0,51.592592,0,47.802574,0,429.665005,1,49.570224,0,719.234223,1,53.861295,0,66.462980,0,434.109456,1,55.877202,0,337.090832,1,44.411882,0
333.554363,1,523.362674,1,51.178020,0,46.983596,0,51.479619,0,439.764041,1,50.133771,0,49.043819,0,59.176570,0,49.502169,0,624.893472,1,49.340676,0,715.373797,1,445.262429,1,433.122456,1,48.833472,0,51.967646,0,56.546625,0,51.218279,0,623.569920,1,55.892752,0,619.544129,1,619.696206,1,53.202080,0,54.764788,0,46.915318,0,337.175293,1,51.052970,0,45.165813,0,242.708413,1
44.367169,0,52.329763,0,47.768129,0,44.139758,0,50.047439,0,139.865585,1,809.633393,1,619.402210,1,44.870569,0,809.193469,1,58.106123,0,67.002938,0,45.369745,0,61.284677,0,333.145348,1,58.210493,0,538.430806,1,715.110695,1,52.821046,0,64.810210,0,449.632631,1,47.645789,0,55.540719,0,47.839230,0,56.843871,0,45.716320,0,628.940218,1,59.446775,0,48.688650,0,56.827635,0
